Lifecycle,Portal Name,Legal Name,Marketing Name,Units,Address,City,State,Zip,Phone,MSA,Email,Product Type,Rural / Urban,HUD,Lifestyle Type,Building Type,Owner,Origination Source,Development Date,Closing Date,Sold Date,Management Company,Construction - General Contractor,Intercompany Account,Project Id,Prevailing Wage,Prevailing Wage Notes,Construction Percent Complete,Construction End Date,Yardi Code
Sold,Riverwalk Apartments (Avenue 900),Riverwalk Cross Vine LLC,Avenue 900,300,900 Grange Hall Drive,Euless,TX,76039,,,Avenue900@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,No,Development,6/21/2013,4/2/2014,8/31/2016,Alliance Management,NRP Contractors LLC,10-70-000-1161.53,341,None,,100.00%,9/22/2015,
Sold,Riverwalk Apartments (Intersection),"SLF IV - Euless Riverwalk JV, LP",,0,900 Grange Hall Drive,Euless,TX,76039,,,,Market,,No,Multi-Family,Garden,No,Construction Demo Project,12/31/1899,4/2/2014,8/31/2016,Unassigned,,,540,,,100.00%,10/7/2015,
Sold,Riverwalk Phase II (The Flats at 901),Riverwalk II Grange Hall LLC,The Flats at 901,200,901 Grange Hall Road,Euless,TX,76039,,,flats901@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,6/30/2015,9/22/2017,9/26/2019,NRP Management LLC,NRP Contractors II LLC,10-70-000-1161.93,446,,,100.00%,3/13/2019,txflats
Sold,Saks Park Homes,"Saks Park Homes LDHA, LP",,45,12801 Mack Ave.,Detroit,MI,48215,,,detroithomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,No,Development,1/1/2007,2/8/2008,4/1/2014,Elite Property Management,NRP Contractors LLC,10-77-000-1160.81,40,,,100.03%,,
Sold,Salado Apartments (The Ellis),Salado Apartments LLC,The Ellis,330,4221 Old Denton Road,Carrollton,TX,75010,469-289-5688,,TheEllis@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,No,Development,3/19/2014,9/23/2014,2/26/2017,Unassigned,NRP Contractors LLC,10-70-000-1161.58,351,None,,99.83%,9/30/2016,
Sold,San Juan Homes,"San Juan Square, Ltd.",San Juan Square,143,1938 South Zarzamora St.,San Antonio,TX,78207,210-223-2889,,sanjuansquare@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,Yes,Development,7/27/2005,12/8/2006,7/8/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.43,41,None,,100.00%,,txjuanho
Sold,San Juan Square II,"San Juan Square II, Ltd.",San Juan Square II,144,2404 South Calaveras,San Antonio,TX,78207,210-222-8866,,sanjuansquareii@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,Yes,Development,8/23/2007,11/26/2008,5/25/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.60,64,None,,100.00%,,txjuan2
Sold,Saratoga Homes,"Saratoga Homes LDHA, L.P.",,49,4661 East Outer Drive,Detroit,MI,48205,,,,9%,Urban,No,Single Family,Single Family Detached,No,Development,8/5/2005,12/1/2005,12/31/2013,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.79,262,None,,0.00%,,msara
Sold,SOCO South (Knoll),SOCO South Apartments LLC,Knoll,308,8103 South Congress Ave,Austin ,TX,78745,,,knoll@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,1/29/2018,4/26/2019,8/24/2021,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.14,806,None,,100.00%,2/16/2021,txknoll
Sold,Square 118 Lofts,"Wxz Residential Group/Transit Lofts, Inc",118 Flats - Square,18,1608 Hazel Drive,Cleveland,OH,44106,,,Square118Lofts@nrpgroup.com,Market,Urban,No,Multi-Family,Townhouse,No,Third Party Managed,,,7/31/2019,NRP Management LLC,,10-70-000-1161.46,450,,,100.00%,,ohsquare
Sold,Steiner Ranch (Aria at Steiner Ranch),Steiner Ranch Residences LLC,Aria at Steiner Ranch,302,4800 Steiner Ranch Blvd,Austin,TX,78732,,,,Market,Suburban,No,Multi-Family,Garden,No,Development,10/10/2013,2/26/2014,11/14/2016,Unassigned,NRP Contractors LLC,10-70-000-1161.49,354,None,,100.00%,12/17/2015,
Sold,Techridge (Lucent),Techridge Apartments LLC ,Lucent,368,12201 Dessau Rd,Austin,TX,78754,737-273-4873,,lucent@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,7/30/2018,10/4/2019,12/16/2021,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.29,949,,,100.00%,10/21/2021,txlucent
Sold,Terrace at Haven for Hope,Terrace at Haven Ltd,,140,703 San Marcos Street,San Antonio,TX,78207, ,, ,9%,Suburban,No,Multi-Family,Elevator,No,Development,2/28/2010,11/17/2011,5/1/2019,"Prospera Housing & Community Services, Inc.",NRP Contractors LLC,10-70-000-1161.18,271,Davis Bacon,,100.00%,,txhope
Sold,The Allure (Vista Ridge),NVR Cedar Park JV LLC,The Allure,334,701 North Vista Ridge Blvd,Cedar Park,TX,78613,,,TheAllure@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,No,Development,1/1/2011,12/29/2011,6/25/2014,Alliance Residential Company,NRP Contractors LLC,10-70-000-1161.28,292,,,100.63%,,
Sold,The Enclave at Kennedy Ridge,"Kennedy Ridge Apartments, LLC",,40,24870 Kennedy Ridge Road,North Olmsted,OH,44070,,,enclave@zaremba.net,Market,Urban,No,Multi-Family,Townhouse,Yes,Third Party Managed,1/15/2001,11/25/2003,9/3/2020,Zaremba Property Management ,NRP Contractors LLC,10-77-000-1160.13,29,None,,0.00%,,
Sold,The Landings at Brooks City Base,Brooks Apartments I Associates LTD,The Landings at Brooks City-Base,300,7803 S. New Braunfels,San Antonio,TX,78209,,,heritageoaks@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,No,Development,1/1/2009,6/3/2011,7/3/2014,Unassigned,NRP Contractors LLC,10-70-000-1161.10,89,,,99.88%,,
Sold,The Sphere (The Luckman),Sphere Apartments LP,The Luckman,426,1801 E. 12th Street ,Cleveland ,OH,44114,216-619-3803,,thesphere@nrpgroup.com,Market,Urban,No,Multi-Family,Elevator,No,Third Party Managed,,5/1/2018,6/1/2021,NRP Management LLC,Marlin Spring,10-70-000-1161.96,909,,,0.00%,5/1/2019,osphere
Sold,The Vue (Commerce Park Place Holdings LLC),Commerce Park Place Holdings LLC,The Vue,348,23220 Chagrin Boulevard ,Beachwood,OH,44122,,,thevue@nrpgroup.com,Market,Suburban,No,Multi-Family,Elevator,No,Development,9/19/2011,3/28/2013,8/31/2016,Comet Management,NRP Contractors LLC,10-70-000-1161.42,297,None,,94.76%,4/1/2015,
Sold,Tobin Lofts at San Antonio College ,"Tobin Lofts, LLC",,225,1415 & 1515 North Main Ave,San Antonio,TX,78212,,,,Market,Urban,No,Student Housing,Elevator,No,Development,1/27/2012,8/8/2012,9/24/2021,Campus Advantage,NRP Contractors LLC,,296,None,,100.00%,,
Sold,University of Toledo Student Housing (Edge 1120),DRI/NRP Toledo LLC,Edge 1120,199,1120 N. Westwood Avenue,Toledo,OH,43606,,,,Market,Urban,No,Student Housing,Garden,Yes,Development,7/30/2013,2/14/2014,3/28/2018,"Asset Campus Housing, Inc.",NRP Contractors LLC,,343,None,,100.06%,7/1/2015,
Sold,UTSA (The Luxx),DRI/NRP San Antonio LLC,,220,6023 UTSA Blvd.,San Antonio,TX,78249,210-570-5533,,,Market,Suburban,No,Student Housing,Garden,No,Development,10/11/2012,4/25/2013,1/30/2019,Campus Advantage,NRP Contractors LLC,,324,None,,100.00%,,
Sold,Village at Arlington,The Village at Arlington LLC,Village at Arlington I & II,60,516 Griffith Street,Youngstown,OH,44510,,,,9%,,No,Multi-Family,Garden,No,Development,3/1/2011,3/30/2012,3/15/2018,Unassigned,NRP Contractors LLC,10-70-000-1161.31,272,Davis Bacon,,101.74%,,
Sold,Village at Arlington II,Village at Arlington II LLC,,60,516 Griffith Street,Youngstown,OH,44510,234-855-1052,,VillageAtArlington@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,No,Development,3/1/2011,8/14/2012,3/15/2018,Unassigned,NRP Contractors LLC,10-70-000-1161.37,277,Davis Bacon,,100.00%,,
Sold,Vineyard Pointe Apartments,"NRP Vineyard Pointe, LLC",Vineyard Pointe,58,4917 Vineyard Lane,Wilmington,NC,28403,,,,9%,Urban,No,Multi-Family,Garden,Yes,Development,8/26/2003,3/18/2004,12/29/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.17,52,None,,100.00%,,ncvine
Sold,Warren Elderly,Warren Elderly Homes LP,Warren Elderly I & II,64,1330 Blakely Circle Southwest,Warren,OH,44485,,,0815@ncr.org,9%,Urban,No,Senior,Garden,No,Development,1/1/1998,,12/31/2013,National Church Residences,,,220,,,100.00%,,
Sold,Warren Elderly II,Warren Eldlery II LP,,64,1330 Blakely Cir Sw,Warren,OH,44485,,,0815@ncr.org,9%,Rural,No,Senior,Garden,No,Development,1/1/1999,,1/31/2014,National Church Residences,,,221,,,100.00%,,
Sold,Warrendale Apartments (Ascent Four Thirty),Marshall Heights LLC,Ascent 430,319,430 Ascent Drive,Wexford,PA,15090,,,Ascent430@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,11/25/2012,10/30/2013,5/17/2018,Unassigned,NRP Contractors LLC,10-70-000-1161.52,328,None,,100.00%,10/1/2015,pacord
Sold,Warrendale Apartments (Retaining Wall),Marshall Heights LLC ,Ascent 430 Retaining Wall Project,0,430 Ascent Dr.,Wexford,PA,,,,,Market,Suburban,No,Multi-Family,Garden,No,Construction Demo Project,9/15/2016,9/15/2016,5/17/2018,Unassigned,,,717,,,0.00%,,
Sold,Willowbrook I,Saybrook Elderly Limited Partnership,Willowbrook I & II,80,2605 N. Bend Road,Ashtabula,OH,44004,440-992-4570,,willowbrook@nrpgroup.com,9%,Rural,No,Senior,Garden,Yes,Development,7/1/1998,12/28/1999,4/21/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.09,42,None,Files inconclusive - $600k HDAP funds but can't locate funding agreement ,78.79%,,owill1
Sold,Willowbrook II,"Saybrook Elderly II, LP",,48,2605 N. Bend Road,Ashtabula,OH,44004,440-992-4570,,willowbrook@nrpgroup.com,9%,Rural,No,Senior,Garden,Yes,Development,6/25/2001,2/8/2003,4/21/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.07,43,None,$600k HDAP - 8 HOME units. ,100.00%,,owill2
Sold,Wood Hawk,"NRP Rocky Mount Elderly, LLC",,58,1836 Eaglecrest Circle,Rocky Mount,NC,27801,,,,9%,Rural,No,Senior,Garden,Yes,Development,8/6/1999,5/19/2000,8/13/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.10,39,None,Files inconclusive - NCHFA funds - likely STCs and RPP which don't trigger DB.,87.63%,,ncwood
Sold,YWCA Outdoor Classroom,YWCA Outdoor Classroom ,YWCA Outdoor Classroom,0,4019 Prospect Avenue,Cleveland,OH,44103,,,,Market,Urban,No,Multi-Family,Garden,No,Construction Demo Project,3/13/2019,,7/1/2020,Unassigned,NRP Construction LLC,,1079,,,100.00%,10/14/2019,
Stabilized,21st Elderly II,"21st Street Seniors II, LP",,60,2205 N. Hawthorne Lane,Indianapolis,IN,46218,,,,9%,Urban,No,Senior,Garden,Yes,Development,1/1/2008,6/1/2009,,Mark III Management,NRP Contractors LLC,,66,,,100.00%,,
Stabilized,A Place for Us Housing,A Place for Us Housing LLC,,55,11610 Madison Avenue,Cleveland,OH,44102,216-672-5730,,aplaceforushousing@nrpgroup.com,9%,Urban,No,Senior,Elevator,Yes,Development,5/14/2014,8/11/2015,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.65,420,None,In addition to Sec.3 Cleveland's Chapter 187 and 188 Fannie Lewis apply.,99.99%,6/1/2016,oplace
Stabilized,Abbington at The Park,Alliance Elderly LLC,Abbington at The Park,56,1850 S. Seneca Avenue,Alliance,OH,44601,330-823-6322,,abbingtonatthepark@nrpgroup.com,9%,Rural,No,Senior,Elevator,Yes,Development,1/1/2007,1/1/2008,,NRP Management LLC,"NRP Contractors LLC, Dallas Housing Authority",10-77-000-1160.59,61,None,,100.00%,1/1/2009,oallianc
Stabilized,Acme Road Apartments (Lucero Apartments),Acme Apartments Ltd.,Lucero Apartments,324,527 S. Acme Road,San Antonio,TX,78237,210-640-3559,#REF!,lucero@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,2/29/2016,11/2/2016,,NRP Management LLC,San Antonio Housing Trust Public Facility Corporation ,10-77-000-1161.79,532,Davis Bacon,City HOME ,100.00%,7/15/2018,txacme
Stabilized,Alderbrook Pointe,Alderbrook Pointe L.P.,,64,140 Alderbrook Circle,Washington ,NC,27889,252-833-0720,,Alderbrook@nrpgroup.com,9%,Suburban,No,Multi-Family,Garden,Yes,Development,1/1/2010,8/26/2011,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.17,267,None,DB just on sewer work,104.26%,,ncalder
Stabilized,Angle Apartments (The Landings at Marine Creek),Decatur-Angle Ltd.,Landings at Marine Creek,302,4250 Old Decatur Road ,Fort Worth,TX,76106,817-349-9170,#REF!,LandingsAtMarineCreek@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,9/18/2013,2/26/2014,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.54,337,None,,100.00%,10/31/2015,txmari
Stabilized,Arcola (Gristmill atTuscany Park) - Offsites,"Arcola TP Partners, Ltd.",,0,21821 South Post Oak Boulevard,Arcola,TX,77545,,,,9%,,No,Multi-Family,Garden,No,Construction Demo Project,7/28/2016,8/4/2017,,Unassigned,NRP Contractors II LLC,,755,,,100.00%,11/9/2018,
Stabilized,Broadmoor Apartments (2900 Broadmoor),The Broadmoor at Western Hills Ltd.,2900 Broadmoor,324,2900 Broadmoor Drive,Fort Worth,TX,76116,(817) 769-4677,#REF!,2900Broadmoor@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,11/5/2015,11/3/2016,,NRP Management LLC,"Fort Worth Housing Finance Corp., NRP Contractors II LLC",10-77-000-1161.80,510,None,,100.00%,9/21/2018,txbroad
Stabilized,Bruton Apartments (Sterlingshire),"Bruton Apartments, Ltd.",Sterlingshire,264,9415 Bruton Road,Dallas,TX,75217,469.778.9050,#REF!,Sterlingshire@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,1/7/2014,8/7/2014,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.60,359,None,,99.95%,5/16/2016,txsterli
Stabilized,Costa Ibiza,"Costa Ibiza, Ltd.",,216,17217 Hafer Rd,Houston,TX,77090,281-440-5944,#REF!,costaibiza@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,1/1/2008,8/7/2008,12/31/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.56,63,Davis Bacon,May not have been followed,100.00%,,txibiza
Stabilized,Beech Grove Station,Beech Grove Senior LLC,,60,240 Buckley Drive ,Beech Grove,IN,46107,317-231-5013,,BeechGroveStation@nrpgroup.com,9%,Suburban,No,Senior,Garden,Yes,Development,2/27/2014,11/21/2014,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.57,380,None,Only 6 of the 30 listed HOME units recieved HOME funds,100.00%,3/23/2016,inbeech
Stabilized,Bella Vista Homes,Bella Vista - Dayton Limited Partnership,,251,3804 Nicholas Road,Dayton,OH,45408,,,,4%,Rural,No,Single Family,Single Family Detached,Yes,Development,3/18/2003,6/1/2003,,The Levin Group,NRP Contractors LLC,,82,None,Data inconclusive - unknown source of HUD loan. ,100.83%,,
Stabilized,Bennett Pointe,Norwalk Elderly LLC,Bennett Pointe I & II,40,11 Bennett Lane,Norwalk,OH,44857,419-668-1496,,bennettpointe@nrpgroup.com,9%,Rural,No,Senior,Garden,Yes,Development,7/16/2006,6/11/2007,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.48,53,None,HDAP HOME $550k - 4 HOME units ,101.75%,,onor
Stabilized,Bennett Pointe II,Norwalk Senior Community II LLC,,60,11 Bennett Lane,Norwalk,OH,44857,419-668-1496,,bennettpointe@nrpgroup.com,9%,Rural,No,Senior,Garden,Yes,Development,7/8/2005,8/30/2006,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.34,34,None,,98.74%,,onor2
Stabilized,Boulevard Homes,"Boulevard Homes, LLC",,40,750 West Rich Street,Columbus,OH,43222,614-227-0547 ,,boulevardhomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,1/1/2009,9/30/2010,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.89,84,None,,100.27%,,oblvdhm
Stabilized,Bradley Place,Massillon Senior LLC,,52,125 David Canary Drive SW,Massillon ,OH,44647,330-832-5892,,bradleyplace@nrpgroup.com,9%,Suburban,No,Senior,Elevator,Yes,Development,1/1/2009,7/30/2010,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.77,264,Davis Bacon,,92.16%,,obradsr
Stabilized,Breakwater Bluffs (Leasehold),Breakwater Bluffs LLC,,0,6060 Father Caruso Dr.,Cleveland,OH,44102,,,,Market,Urban,No,Multi-Family,Garden,Yes,Construction Demo Project,3/12/2014,12/16/2015,,Unassigned,,,520,,,100.00%,7/1/2017,
Stabilized,Breakwater Bluffs (The Edison at Gordon Square),Edison at Gordon Square LLC,The Edison at Gordon Square ,306,6060 Father Caruso Drive ,Cleveland ,OH,44102,216-727-3787,,edisongordonsquare@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,Yes,Third Party Managed,,12/27/2019,12/31/2022,NRP Management LLC,,10-77-000-1162.21,1196,,,,,ohgordon
Stabilized,Brightmoor Homes IV,"Brightmoor Homes IV LDHA, LP",,45,23230 Fenkell Avenue,Detroit,MI,48223,,,,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,1/15/2006,5/8/2006,,KMG Prestige,NRP Contractors LLC,10-70-000-1161.26,87,None,,98.41%,,
Stabilized,Brighton Pointe,Brighton Pointe LP ,Brighton Pointe,80,7510 Estey Rd,Raleigh,NC,27616,919-373-0114,,BrightonPointe@nrpgroup.com,9%,Suburban,No,Multi-Family,Garden,Yes,Development,8/23/2012,7/25/2013,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.48,323,Davis Bacon,,100.00%,7/16/2014,ncbright
Stabilized,Brighton Pointe Senior Apartments,Brighton Pointe II LP,Brighton Pointe Seior Apartments,88,3140 Leland Drive,Raleigh,NC,27616,919-261-3707,,brightonpointeii@nrpgroucom,9%,Suburban,No,Senior,Elevator,No,Third Party Managed,,,,NRP Management LLC,,10-77-000-1161.82,730,,,100.00%,,ncbrisr
Stabilized,Costa Mariposa,"Costa Mariposa, Ltd.",,252,7555 Medical Center Drive,Texas City,TX,77591,409-908-0552,#REF!,costamariposa@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,1/1/2008,5/29/2009,12/31/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.62,112,Davis Bacon,,100.00%,,txmaripo
Stabilized,Costa Mirada,"Costa Mirada, Ltd.",,212,9323 Somerset Road,San Antonio,TX,78211,210-923-2972,#REF!,costamirada@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,2/21/2006,10/1/2006,3/30/2023,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.36,14,Davis Bacon,,100.00%,,txmirada
Stabilized,Bulverde Marketplace (Shared Work),Bulverde Apartments LLC,,0,16399 Bulverde Road,San Antonio,TX,78247,,,,Market,Suburban,No,Multi-Family,Garden,No,Construction Demo Project,12/15/2016,11/1/2016,,Unassigned,,,604,,,100.00%,11/11/2018,
Stabilized,Career Gateway Homes,Career Gateway Homes LLC,Residences at Career Gateway,58,755 E. Whittier Street ,Columbus,OH,43206,614-369-3712,,CareerGateway@nrpgroup.com,9%,Urban,No,Multi-Family,Elevator,Yes,Development,6/17/2015,5/31/2016,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.74,469,None,,100.00%,8/11/2017,ocareer
Stabilized,Costa Rialto,"Costa Rialto, Ltd.",,216,5015 Aldine Bender,Houston,TX,77032,281-987-1300,#REF!,costarialto@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,2/1/2007,7/1/2007,12/31/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.49,58,Davis Bacon,May not have been followed,100.00%,12/24/2008,txrialto
Stabilized,Centric,"Intesa Holdings, LLC",Centric ,272,1999 Circle Drive,Cleveland ,OH,44106,216-220-2830,,centric@nrpgroup.com,Market,Urban,No,Multi-Family,Elevator,No,Third Party Managed,,,,NRP Management LLC,,10-77-000-1161.91,759,,,0.00%,,ocentric
Stabilized,Chauncey Pointe,Bowling Green Senior Community LLC,,64,1005 Chauncey Lane,Bowling Green,OH,43402,419-352-8560,,chaunceypointe@nrpgroup.com,9%,Rural,No,Senior,Garden,Yes,Development,7/13/2006,9/10/2007,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.47,3,None,HDAP - 4 HOME units ,100.00%,,obowlsr
Stabilized,Cherry Orchard,Cherry Orchard Place LLC,,49,400 Cherry Orchard Drive,Susquehanna Township,PA,17110,,,,9%,Suburban,No,Senior,Elevator,No,Development,4/12/2018,4/29/2019,,Lebanon Housing Authority,NRP Contractors II LLC,,425,None,5 VASH and 3 PBV,100.00%,5/13/2020,
Stabilized,Citadel Tech Ridge (Cambridge),Austin Citadel LLC,,308,1127 Pearl Retreat Drive,Austin,TX,78753,,,,Market,,No,Multi-Family,Garden,No,Third Party GC,11/26/2018,11/30/2018,,Unassigned,NRP Construction LLC,,1007,,,100.00%,6/12/2020,
Stabilized,Commons of Grace,"TX Commons of Grace, LP",,108,9110 Tidwell,Houston,TX,77078,713-635-3500,,commonsofgrace@nrpgroup.com,9%,Urban,No,Senior,Elevator,Yes,Development,7/28/2004,12/15/2006,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.42,57,Davis Bacon,,100.00%,,txgrace
Stabilized,Cooper's Pointe,Plantation Creek L.P.,,64,1113 Stanford Avenue,Burgaw,NC,28425,910-259-9367,,cooperspointe@nrpgroup.com,9%,Rural,No,Multi-Family,Garden,Yes,Development,7/7/2005,10/2/2006,3/31/2023,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.46,36,None,,100.00%,,ncplant
Stabilized,Cornerstone Senior Apartments,Village Green Elderly LLC,Cornerstone ,50,18221 Euclid Avenue,Cleveland,OH,44112,216-486-2746,,cornerstone@nrpgroup.com,9%,Urban,No,Senior,Elevator,Yes,Development,8/14/2007,4/30/2008,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.54,51,None,,100.00%,,ovillage
Stabilized,Costa Almadena Reno,"Costa Almadena, Ltd.",,176,6222 S. New Braunfels,San Antonio,TX,78223,210-531-9590,,costaalmadena@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,No,Construction Demo Project,1/1/2006,,,Unassigned,,,631,,,0.00%,,
Stabilized,Costa Biscaya,"Costa Biscaya, Ltd.",The Villas at Costa Biscaya,250,5100 Eisenhauer,San Antonio,TX,78218,210-447-7585,,costabiscaya@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,6/8/2004,11/1/2004,11/1/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.20,12,Davis Bacon,,99.93%,,txbisc
Stabilized,Costa Cadiz,"Costa Cadiz, Ltd.",,172,2819 South WW White Road,San Antonio,TX,78222,210-257-6248,,costacadiz@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,7/1/2004,12/1/2004,11/1/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.19,13,Davis Bacon,,100.60%,6/6/2006,txcadiz
Stabilized,Costa Tarragona,"Costa Tarragona I, Ltd.",,250,2240 North Padre Island Drive,Corpus Christi,TX,78408,361-289-6800,#REF!,costatarragona@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,6/1/2005,11/1/2005,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.29,15,,,100.00%,,txtarra
Stabilized,Costa Verde III,"Costa Verde III, Ltd.",Costa Verde,188,101 Verde Drive,Clute,TX,77531,979-265-4717,#REF!,costaverde@nrpgroup.com,4%,Rural,No,Multi-Family,Garden,Yes,Development,1/1/2006,12/20/2006,12/31/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.40,59,None,,100.00%,,txverde3
Stabilized,Costa Vizcaya,"Costa Vizcaya, Ltd.",,252,12020 N. Gessner,Houston,TX,77064,281-970-7032,#REF!,costavizcaya@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,3/1/2007,8/1/2007,12/31/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.50,60,None,,100.00%,,txviz
Stabilized,Del Valle Apartments (The Beckett) ,Del Valle 969 Apartments Ltd. ,The Beckett,302,14011 FM 969,Austin ,TX,78724,512-354-1930,#REF!,TheBeckett@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,12/6/2016,6/8/2018,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1161.99,630,None,,100.00%,4/21/2020,txbeck
Stabilized,Denton Apartments (The Veranda),McKinney Denton Apartments Ltd,The Veranda ,322,2420 E McKinney Road,Denton,TX,76209,(940) 312-5955,#REF!,theveranda@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,12/2/2014,4/15/2016,,NRP Management LLC,"Denton Public Facility Corporation, NRP Contractors LLC",10-77-000-1161.72,349,None,,100.00%,3/29/2018,txdent
Stabilized,Encino Pointe,"Encino Pointe, Ltd.",,252,1800 Post Road,San Marcos,TX,78666,512-392-0628,#REF!,encinopointe@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,1/1/2008,5/19/2010,,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.63,128,Davis Bacon,,100.03%,,txencino
Stabilized,Harris Ridge Apartments (Bridge at Harris Ridge),"Harris Ridge Apartments, Ltd.",Bridge at Harris Ridge,324,1501 E Howard Ln,Austin ,TX,78753,512-271-5677,#REF!,bridge@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,10/5/2016,11/17/2017,,NRP Management LLC,"NRP Contractors II LLC, Austin Affordable Housing Corporation",10-77-000-1161.94,609,None,,100.00%,12/22/2017,txharris
Stabilized,Mercantile Apartments (Mercantile Square),Mercantile Apartments Ltd. ,Mercantile Square,324,3600 Tanacross Drive ,Fort Worth,TX,76137,(682) 224-8777,#REF!,mercantilesquare@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,11/5/2015,9/30/2016,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1161.86,533,None,,99.97%,8/21/2018,txmerca
Stabilized,Palo Alto Apartments (Esperanza at Palo Alto),Palo Alto Apartments Ltd.,Esperanza at Palo Alto,322,12305 SW Loop 410 ,San Antonio,TX,78224,210-971-6900,#REF!,EsperanzaPaloAlto@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,12/2/2014,7/13/2015,,NRP Management LLC,NRP Contractors LLC,10-77-000-1161.64,455,Davis Bacon,$1.587M City of SA HOME Funds and $600k City of SA CDBG funds ,97.34%,3/1/2017,txpalo
Stabilized,Crockett Street (The Baldwin at St Paul Square),The Baldwin Apartments LP,The Baldwin ,271,239 Center Street ,San Antonio ,TX,78205,(210) 987-2188,,thebaldwin@nrpgroup.com,PFC,Urban,No,Multi-Family,Wrap,Yes,Third Party Managed,,9/25/2019,,NRP Management LLC,,10-77-000-1162.19,1173,,,,,txbald
